,score,phase,subject,round,block1,block2,block3,dim1,dim2,dim3,dim4,X,dim1_choice_value,dim1_category,Y,dim2_choice_value,dim2_category,Z,dim3_choice_value,dim3_category,T,dim4_choice_value,dim4_category
1343,67.0,P2-only,oct2702,4,"[2113, 2322, 1311]","[3121, 3333, 1132]","[1223, 2231, 3212]","(1, 1, 2, 2, 3, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 3, 3, 1, 1, 3, 2, 2, 2)",43.333,54.074,122,223.33300000000003,34.074,111,32.222,42.963,122,314.815,25.556,223
1344,55.0,P2-only,oct2702,5,"[3311, 2323, 1332]","[3122, 2131, 1113]","[1221, 3233, 2212]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(3, 3, 3, 1, 1, 1, 2, 2, 2)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111,394.815,5.556,333
1345,38.0,P2-only,oct2702,6,"[2232, 1312, 3122]","[3333, 2113, 1223]","[1131, 3211, 2321]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 2, 3, 3, 3, 1, 1, 1)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,415.92600000000004,26.667,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1346,32.0,P2-only,oct2702,7,"[2323, 1113, 3233]","[3312, 2211, 2132]","[1331, 1222, 3121]","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(3, 3, 3, 1, 2, 2, 1, 1, 2)","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",25.185000000000002,35.926,122,291.111,1.852,223,21.481,32.222,122,223.33300000000003,34.074,111
1347,51.0,P2-only,oct2702,8,"[2233, 3211, 3123]","[1131, 2321, 1222]","[2112, 1313, 3332]","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 3, 3, 1, 1, 2, 2, 2, 3)","(2, 3, 3, 1, 1, 2, 1, 2, 3)","(1, 2, 2, 1, 2, 3, 1, 3, 3)",21.481,32.222,122,116.29599999999999,27.037,222,3.333,14.074,122,33.703,44.444,122
1348,54.0,P2-only,oct2702,9,"[3313, 1223, 1331]","[1112, 3121, 2322]","[2211, 3232, 2133]","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 3, 3, 1, 2, 2, 1, 2, 3)","(1, 1, 3, 1, 2, 3, 2, 2, 3)","(2, 3, 3, 1, 1, 3, 1, 2, 2)",24.814999999999998,35.556,122,14.443999999999999,25.185,122,36.296,47.037,122,101.852,12.593,222
1349,64.0,P2-only,oct2702,10,"[2111, 2322, 1132]","[3123, 3331, 1221]","[2233, 3212, 1313]","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 2, 2, 1, 1, 3, 2, 3, 3)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 1, 3, 1, 2, 3, 2, 2, 3)",21.481,32.222,122,135.555,46.296,222,32.222,42.963,122,36.296,47.037,122
1350,48.0,P2-only,oct2702,11,"[3231, 1223, 1332]","[2321, 3313, 1111]","[3122, 2133, 2212]","(2, 3, 3, 1, 1, 2, 1, 2, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 1, 3, 1, 2, 3, 2, 2, 3)","(2, 2, 3, 1, 3, 3, 1, 1, 2)",3.333,14.074,122,25.185000000000002,35.926,122,36.296,47.037,122,108.889,19.63,222
1351,64.0,P2-only,oct2702,12,"[2232, 3122, 1312]","[1221, 2111, 2323]","[3331, 3213, 1133]","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(2, 2, 2, 1, 1, 3, 1, 3, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",24.814999999999998,35.556,122,322.592,33.333,223,24.814999999999998,35.556,122,223.33300000000003,34.074,111
1352,82.0,P2-only,oct2702,13,"[3231, 3112, 1121]","[2311, 3323, 1213]","[2133, 2222, 1332]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 2, 1, 3, 3, 2, 2, 3)","(1, 3, 3, 1, 2, 3, 1, 2, 2)","(1, 1, 2, 2, 3, 3, 1, 2, 3)",26.665999999999997,37.407,122,145.185,55.926,222,12.963000000000001,23.704,122,43.333,54.074,122
1353,48.0,P2-only,oct2702,14,"[3213, 3132, 3321]","[2333, 1312, 2222]","[1231, 2111, 1123]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(3, 3, 3, 1, 2, 2, 1, 1, 2)","(1, 2, 3, 2, 3, 3, 1, 1, 2)",223.33300000000003,34.074,111,21.481,32.222,122,291.111,1.852,223,20.0,30.741,122
1354,61.0,P2-only,oct2702,15,"[1322, 3221, 3112]","[1213, 2232, 3333]","[2123, 2311, 1131]","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 2, 2, 3, 3, 1, 1, 3)","(1, 3, 3, 1, 2, 3, 1, 2, 2)","(1, 2, 3, 2, 2, 3, 1, 1, 3)",32.222,42.963,122,130.37,41.111,222,12.963000000000001,23.704,122,21.481,32.222,122
1355,62.0,P2-only,oct2702,16,"[1322, 3132, 3311]","[3223, 1113, 1231]","[2333, 2212, 2121]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 3, 3, 1, 1, 3, 2, 2, 2)","(1, 3, 3, 1, 2, 2, 1, 2, 3)",223.33300000000003,34.074,111,32.222,42.963,122,314.815,25.556,223,14.443999999999999,25.185,122
1356,53.0,P2-only,oct2702,17,"[1131, 3332, 2122]","[1212, 2311, 1323]","[3113, 3221, 2233]","(2, 3, 3, 1, 1, 2, 1, 2, 3)","(1, 2, 2, 1, 2, 3, 1, 3, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 3, 2, 3, 3, 1, 2, 2)",3.333,14.074,122,33.703,44.444,122,26.665999999999997,37.407,122,132.963,43.704,222
1357,38.0,P2-only,oct2702,18,"[2122, 1232, 3131]","[3223, 2333, 2211]","[1113, 1321, 3312]","(2, 3, 3, 1, 2, 3, 1, 1, 2)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 1, 2, 2, 2, 3, 1, 3, 3)",0.0,10.741,122,32.222,42.963,122,21.481,32.222,122,144.815,55.556,222
1358,26.0,P2-only,oct2702,19,"[1323, 1132, 3222]","[2121, 3113, 2233]","[1211, 3331, 2312]","(2, 2, 3, 1, 2, 3, 1, 1, 3)","(2, 2, 3, 1, 3, 3, 1, 1, 2)","(1, 1, 3, 2, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)",10.370000000000001,21.111,122,108.889,19.63,222,34.444,45.185,122,26.665999999999997,37.407,122
1359,73.0,P2-only,oct2702,20,"[2332, 2211, 1112]","[1233, 1321, 3313]","[3222, 2123, 3131]","(1, 1, 3, 1, 2, 3, 2, 2, 3)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 2, 1, 1, 3, 2, 3, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)",36.296,47.037,122,32.222,42.963,122,135.555,46.296,222,20.0,30.741,122
1360,48.0,P2-only,oct2702,21,"[2232, 2121, 3112]","[1133, 3223, 1322]","[2313, 3331, 1211]","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 2, 2, 2, 3, 3, 1, 1, 3)","(2, 2, 3, 1, 1, 3, 1, 2, 3)","(1, 1, 2, 1, 2, 3, 2, 3, 3)",21.481,32.222,122,130.37,41.111,222,12.222000000000001,22.963,122,46.666,57.407,122
1361,58.0,P2-only,oct2702,22,"[3313, 1111, 1233]","[3221, 3132, 2331]","[2212, 1322, 2123]","(1, 1, 3, 2, 3, 3, 1, 2, 2)","(1, 3, 3, 1, 1, 2, 2, 2, 3)","(1, 1, 3, 2, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",132.963,43.704,222,116.29599999999999,27.037,222,132.963,43.704,222,223.33300000000003,34.074,111
1362,68.0,P2-only,oct2702,23,"[2122, 3332, 1212]","[1321, 3111, 2231]","[2313, 1133, 3223]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 2, 1, 1, 1, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,425.92600000000004,36.667,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1363,69.0,P2-only,oct2702,24,"[2331, 2122, 3312]","[3133, 3221, 1111]","[1232, 2213, 1323]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 2, 1, 1, 3, 2, 3, 3)","(2, 2, 3, 1, 3, 3, 1, 1, 2)","(1, 3, 3, 1, 1, 2, 2, 2, 3)",223.33300000000003,34.074,111,135.555,46.296,222,108.889,19.63,222,116.29599999999999,27.037,222
1364,66.0,P2-only,oct2702,25,"[2312, 2231, 3222]","[2123, 1132, 3111]","[1321, 3333, 1213]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 2, 1, 2, 3, 1, 3, 3)","(2, 2, 3, 1, 2, 3, 1, 1, 3)","(2, 2, 3, 1, 1, 1, 2, 3, 3)",223.33300000000003,34.074,111,33.703,44.444,122,10.370000000000001,21.111,122,315.555,26.296,223
1365,55.0,P2-only,oct2702,26,"[3311, 3222, 2332]","[2213, 1231, 3133]","[1323, 2121, 1112]","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(2, 3, 3, 1, 2, 3, 1, 1, 2)","(2, 3, 3, 1, 2, 2, 1, 1, 3)",21.852000000000004,32.593,122,32.222,42.963,122,0.0,10.741,122,101.481,12.222,222
1366,65.0,P2-only,oct2702,27,"[2312, 2221, 3232]","[2133, 3111, 1122]","[1331, 1213, 3323]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 2, 1, 2, 3, 1, 3, 3)","(2, 2, 3, 1, 2, 3, 1, 1, 3)","(2, 2, 3, 1, 1, 1, 2, 3, 3)",223.33300000000003,34.074,111,33.703,44.444,122,10.370000000000001,21.111,122,315.555,26.296,223
1367,50.0,P2-only,oct2702,28,"[2111, 2223, 1122]","[1231, 2332, 3133]","[1313, 3212, 3321]","(1, 2, 2, 3, 3, 3, 1, 1, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 2, 1, 2, 3, 1, 3, 3)","(1, 1, 2, 1, 2, 3, 2, 3, 3)",328.889,39.63,223,223.33300000000003,34.074,111,33.703,44.444,122,46.666,57.407,122
1368,52.0,P2-only,oct2702,29,"[2132, 2221, 1212]","[3233, 1331, 1123]","[3322, 3111, 2313]","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 2, 1, 1, 3, 2, 3, 3)","(1, 2, 2, 1, 2, 3, 1, 3, 3)",20.0,30.741,122,32.222,42.963,122,135.555,46.296,222,33.703,44.444,122
1369,50.0,P2-only,oct2702,30,"[1121, 2112, 1232]","[3133, 2331, 2223]","[3211, 1313, 3322]","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 1, 2, 2, 2, 3, 1, 3, 3)","(1, 1, 2, 1, 2, 3, 2, 3, 3)",20.0,30.741,122,32.222,42.963,122,144.815,55.556,222,46.666,57.407,122
1370,46.0,P2-only,oct2702,31,"[2222, 1211, 3233]","[2313, 1332, 1123]","[3112, 2131, 3321]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(2, 2, 2, 1, 3, 3, 1, 1, 3)",223.33300000000003,34.074,111,20.0,30.741,122,26.665999999999997,37.407,122,319.259,30.0,223
1371,69.0,P2-only,oct2702,32,"[1121, 3323, 2222]","[1312, 3211, 2113]","[1233, 3132, 2331]","(2, 2, 2, 1, 1, 1, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",425.92600000000004,36.667,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1372,87.0,P2-only,oct2702,33,"[2312, 1122, 3321]","[2131, 3113, 1211]","[2223, 1333, 3232]","(1, 2, 2, 1, 1, 3, 2, 3, 3)","(1, 2, 2, 1, 1, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 3, 3, 1, 1, 2, 2, 2, 3)",135.555,46.296,222,135.555,46.296,222,223.33300000000003,34.074,111,116.29599999999999,27.037,222
1373,88.0,P2-only,oct2702,34,"[1122, 3212, 2221]","[1311, 2113, 3131]","[1233, 3323, 2332]","(1, 2, 2, 1, 1, 3, 2, 3, 3)","(1, 2, 2, 1, 1, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 2, 1, 1, 3, 2, 3, 3)",135.555,46.296,222,135.555,46.296,222,223.33300000000003,34.074,111,135.555,46.296,222
1374,71.0,P2-only,oct2702,35,"[1212, 2132, 2311]","[1333, 3231, 3113]","[1121, 3322, 2223]","(1, 1, 3, 1, 3, 3, 2, 2, 2)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",334.815,45.556,223,32.222,42.963,122,32.222,42.963,122,223.33300000000003,34.074,111
1375,39.0,P2-only,oct2702,36,"[1123, 3322, 2112]","[2333, 3213, 1232]","[2221, 3131, 1311]","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(2, 2, 3, 2, 3, 3, 1, 1, 1)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 3, 2, 2, 3, 1, 2, 3)",32.222,42.963,122,307.03700000000003,17.778,223,223.33300000000003,34.074,111,34.444,45.185,122
1376,39.0,P2-only,oct2702,37,"[1221, 2232, 3322]","[1333, 3131, 2123]","[2311, 1112, 3213]","(2, 2, 3, 2, 3, 3, 1, 1, 1)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 3, 1, 1, 3, 1, 2, 3)",307.03700000000003,17.778,223,32.222,42.963,122,223.33300000000003,34.074,111,12.222000000000001,22.963,122
1377,38.0,P2-only,oct2702,38,"[3322, 2212, 1223]","[2333, 1132, 3113]","[3231, 2121, 1311]","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(2, 2, 3, 2, 3, 3, 1, 1, 1)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 3, 1, 1, 3, 1, 2, 3)",32.222,42.963,122,307.03700000000003,17.778,223,223.33300000000003,34.074,111,12.222000000000001,22.963,122
1378,57.0,P2-only,oct2702,39,"[1222, 3321, 2312]","[1333, 2123, 3132]","[2231, 1111, 3213]","(1, 2, 2, 2, 3, 3, 1, 1, 3)","(1, 2, 2, 2, 3, 3, 1, 1, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 3, 3, 1, 1, 3, 1, 2, 2)",130.37,41.111,222,130.37,41.111,222,223.33300000000003,34.074,111,101.852,12.593,222
1379,37.0,P2-only,oct2702,40,"[2332, 1222, 3231]","[2213, 1133, 2121]","[3323, 3112, 1311]","(2, 3, 3, 1, 2, 3, 1, 1, 2)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(2, 2, 3, 1, 1, 2, 1, 3, 3)",0.0,10.741,122,32.222,42.963,122,24.814999999999998,35.556,122,113.703,24.444,222
1380,42.0,P2-only,oct2702,41,"[2122, 3321, 1332]","[2231, 3133, 2313]","[1111, 1223, 3212]","(2, 2, 3, 1, 3, 3, 1, 1, 2)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 3, 3, 1, 2, 3, 1, 2, 2)",108.889,19.63,222,32.222,42.963,122,21.481,32.222,122,12.963000000000001,23.704,122
1381,72.0,P2-only,oct2702,42,"[2122, 1221, 3111]","[1133, 3232, 2213]","[1312, 3323, 2331]","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 1, 2, 2, 3, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 2, 1, 2, 2, 3, 3, 3)",32.222,42.963,122,43.333,54.074,122,223.33300000000003,34.074,111,348.148,58.889,223
1382,67.0,P2-only,oct2702,43,"[1112, 3211, 2232]","[1223, 3133, 2121]","[1331, 2313, 3322]","(1, 1, 3, 2, 2, 3, 1, 2, 3)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 2, 1, 1, 2, 3, 3, 3)",34.444,45.185,122,32.222,42.963,122,223.33300000000003,34.074,111,337.03700000000003,47.778,223
1383,42.0,P2-only,oct2702,44,"[3322, 1132, 1221]","[1313, 3233, 2331]","[2212, 2123, 3111]","(2, 2, 3, 1, 3, 3, 1, 1, 2)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 1, 3, 1, 2, 3, 2, 2, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)",108.889,19.63,222,32.222,42.963,122,36.296,47.037,122,20.0,30.741,122
1384,56.0,P2-only,oct2702,45,"[1222, 3132, 3211]","[2233, 1331, 1113]","[3323, 2312, 2121]","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 3, 3, 1, 1, 2, 2, 2, 3)","(1, 2, 2, 1, 2, 3, 1, 3, 3)",21.852000000000004,32.593,122,32.222,42.963,122,116.29599999999999,27.037,222,33.703,44.444,122
1385,38.0,P2-only,oct2702,46,"[1222, 3233, 3321]","[1313, 2123, 1131]","[2332, 2211, 3112]","(2, 2, 3, 1, 2, 3, 1, 1, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 3, 3, 1, 1, 2, 2, 2, 3)","(2, 2, 3, 1, 1, 3, 1, 2, 3)",10.370000000000001,21.111,122,21.852000000000004,32.593,122,116.29599999999999,27.037,222,12.222000000000001,22.963,122
1386,64.0,P2-only,oct2702,47,"[2122, 1221, 3212]","[1113, 1332, 3323]","[2311, 2233, 3131]","(1, 2, 2, 1, 2, 3, 1, 3, 3)","(1, 2, 2, 2, 3, 3, 1, 1, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 2, 1, 3, 3, 1, 2, 3)",33.703,44.444,122,130.37,41.111,222,25.185000000000002,35.926,122,32.222,42.963,122
1387,87.0,P2-only,oct2702,48,"[2211, 3321, 1312]","[3113, 1223, 2333]","[3232, 2122, 1131]","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(1, 1, 2, 3, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 3, 3, 1, 2, 3, 1, 1, 2)",46.666,57.407,122,341.85200000000003,52.593,223,223.33300000000003,34.074,111,0.0,10.741,122
1388,72.0,P2-only,oct2702,49,"[1211, 2321, 3222]","[3313, 1123, 2233]","[2112, 3131, 1332]","(1, 2, 2, 1, 2, 3, 1, 3, 3)","(1, 1, 2, 3, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 3, 1, 2, 3, 1, 1, 3)",33.703,44.444,122,341.85200000000003,52.593,223,223.33300000000003,34.074,111,10.370000000000001,21.111,122
1389,92.0,P2-only,oct2702,50,"[2211, 1121, 1312]","[1233, 3331, 3113]","[2132, 3222, 2323]","(1, 1, 2, 1, 3, 3, 2, 2, 3)","(1, 1, 2, 1, 3, 3, 2, 2, 3)","(1, 1, 2, 1, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",145.185,55.926,222,145.185,55.926,222,145.185,55.926,222,223.33300000000003,34.074,111
1390,55.0,P2-only,oct2703,1,"[2213, 3312, 1111]","[2132, 1333, 3231]","[3123, 1222, 2321]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 3, 3, 3, 2, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,454.815,65.556,333,223.33300000000003,34.074,111
1391,63.0,P2-only,oct2703,2,"[2231, 2112, 2323]","[1133, 3213, 1222]","[1311, 3121, 3332]","(2, 2, 2, 1, 1, 3, 1, 3, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)",322.592,33.333,223,24.814999999999998,35.556,122,223.33300000000003,34.074,111,20.0,30.741,122
1392,57.0,P2-only,oct2703,3,"[1333, 3232, 2131]","[2213, 1112, 3311]","[1221, 3123, 2322]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(3, 3, 3, 1, 1, 1, 2, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,394.815,5.556,333,223.33300000000003,34.074,111
1393,77.0,P2-only,oct2703,4,"[2113, 3121, 1132]","[3333, 1311, 2322]","[1223, 2231, 3212]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 3, 3, 3, 2, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,454.815,65.556,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1394,59.0,P2-only,oct2703,5,"[3122, 1113, 3311]","[2131, 1332, 2323]","[1221, 3233, 2212]","(1, 3, 3, 1, 2, 2, 1, 2, 3)","(1, 1, 3, 1, 3, 3, 2, 2, 2)","(1, 1, 2, 2, 3, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",14.443999999999999,25.185,122,334.815,45.556,223,43.333,54.074,122,223.33300000000003,34.074,111
1395,87.0,P2-only,oct2703,6,"[2113, 3122, 1131]","[1223, 2232, 3211]","[1312, 3333, 2321]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1396,94.0,P2-only,oct2703,7,"[1113, 2132, 1222]","[2211, 3233, 3121]","[2323, 3312, 1331]","(1, 1, 2, 2, 3, 3, 1, 2, 3)","(1, 1, 2, 1, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 3, 1, 1, 3, 1, 2, 3)",43.333,54.074,122,348.148,58.889,223,223.33300000000003,34.074,111,12.222000000000001,22.963,122
1397,79.0,P2-only,oct2703,8,"[1222, 2233, 2112]","[3123, 3211, 1131]","[2321, 1313, 3332]","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 2, 1, 1, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 3, 1, 1, 3, 1, 2, 3)",32.222,42.963,122,337.03700000000003,47.778,223,223.33300000000003,34.074,111,12.222000000000001,22.963,122
1398,82.0,P2-only,oct2703,9,"[1223, 2211, 2133]","[3232, 3121, 1112]","[3313, 2322, 1331]","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 2, 1, 1, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 3, 3, 1, 2, 2, 1, 2, 3)",32.222,42.963,122,337.03700000000003,47.778,223,223.33300000000003,34.074,111,14.443999999999999,25.185,122
1399,87.0,P2-only,oct2703,10,"[1221, 3123, 1132]","[2111, 2233, 3212]","[3331, 2322, 1313]","(1, 1, 3, 2, 2, 3, 1, 2, 3)","(1, 1, 2, 1, 2, 2, 3, 3, 3)","(2, 2, 3, 1, 1, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",34.444,45.185,122,348.148,58.889,223,12.222000000000001,22.963,122,223.33300000000003,34.074,111
1400,80.0,P2-only,oct2703,11,"[1223, 3122, 2133]","[1111, 3231, 2212]","[2321, 3313, 1332]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 2, 1, 2, 2, 3, 3, 3)","(2, 2, 3, 1, 1, 3, 1, 2, 3)","(2, 3, 3, 1, 1, 2, 1, 2, 3)",223.33300000000003,34.074,111,348.148,58.889,223,12.222000000000001,22.963,122,3.333,14.074,122
1401,89.0,P2-only,oct2703,12,"[2232, 2111, 1133]","[3122, 3213, 1221]","[3331, 1312, 2323]","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 1, 2, 1, 2, 2, 3, 3, 3)","(1, 3, 3, 1, 2, 2, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",32.222,42.963,122,348.148,58.889,223,14.443999999999999,25.185,122,223.33300000000003,34.074,111
1402,73.0,P2-only,oct2703,13,"[2222, 2133, 3112]","[1213, 1121, 3231]","[2311, 3323, 1332]","(2, 2, 3, 1, 1, 3, 1, 2, 3)","(1, 1, 2, 1, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 3, 1, 1, 3, 1, 2, 3)",12.222000000000001,22.963,122,348.148,58.889,223,223.33300000000003,34.074,111,12.222000000000001,22.963,122
1403,78.0,P2-only,oct2703,14,"[1123, 3213, 3132]","[1231, 2222, 2111]","[2333, 1312, 3321]","(1, 3, 3, 1, 2, 2, 1, 2, 3)","(1, 1, 2, 1, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 3, 3, 1, 1, 2, 1, 2, 3)",14.443999999999999,25.185,122,348.148,58.889,223,223.33300000000003,34.074,111,3.333,14.074,122
1404,68.0,P2-only,oct2703,15,"[1213, 3221, 2232]","[3112, 2123, 1131]","[1322, 3333, 2311]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 2, 1, 1, 1, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,425.92600000000004,36.667,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1405,54.0,P2-only,oct2703,16,"[2121, 1231, 3311]","[2333, 3223, 1113]","[1322, 3132, 2212]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 3, 3, 3, 2, 2, 2)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111,454.815,65.556,333
